Binary,Link
Msdeploy.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Msdeploy/
MsoHtmEd.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/MsoHtmEd/
Mspub.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Mspub/
msxsl.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Msxsl/
ntdsutil.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Ntdsutil/
Ntsd.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Ntsd/
OpenConsole.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/OpenConsole/
Pixtool.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Pixtool/
Powerpnt.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Powerpnt/
Procdump.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Procdump/
ProtocolHandler.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/ProtocolHandler/
rcsi.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Rcsi/
Remote.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Remote/
Sqldumper.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Sqldumper/
Sqlps.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Sqlps/
SQLToolsPS.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Sqltoolsps/
Squirrel.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Squirrel/
te.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Te/
Teams.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Teams/
TestWindowRemoteAgent.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Testwindowremoteagent/
Tracker.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Tracker/
Update.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Update/
VSDiagnostics.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/VSDiagnostics/
VSIISExeLauncher.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/VSIISExeLauncher/
Visio.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Visio/
VisualUiaVerifyNative.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/VisualUiaVerifyNative/
VSLaunchBrowser.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/VsLaunchBrowser/
Vshadow.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Vshadow/
vsjitdebugger.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Vsjitdebugger/
WFMFormat.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/WFMFormat/
Wfc.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Wfc/
WinDbg.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/WinDbg/
WinProj.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Winproj/
Winword.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Winword/
Wsl.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Wsl/
XBootMgr.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/XBootMgr/
XBootMgrSleep.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/XBootMgrSleep/
devtunnel.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/devtunnels/
vsls-agent.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/vsls-agent/
vstest.console.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/vstest.console/
winfile.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/winfile/
xsd.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/xsd/
CL_LoadAssembly.ps1,https://lolbas-project.github.io/lolbas/Scripts/CL_LoadAssembly/
CL_Mutexverifiers.ps1,https://lolbas-project.github.io/lolbas/Scripts/CL_mutexverifiers/
CL_Invocation.ps1,https://lolbas-project.github.io/lolbas/Scripts/Cl_invocation/
Launch-VsDevShell.ps1,https://lolbas-project.github.io/lolbas/Scripts/Launch-VsDevShell/
Manage-bde.wsf,https://lolbas-project.github.io/lolbas/Scripts/Manage-bde/
Pubprn.vbs,https://lolbas-project.github.io/lolbas/Scripts/Pubprn/
Syncappvpublishingserver.vbs,https://lolbas-project.github.io/lolbas/Scripts/Syncappvpublishingserver/
UtilityFunctions.ps1,https://lolbas-project.github.io/lolbas/Scripts/UtilityFunctions/
winrm.vbs,https://lolbas-project.github.io/lolbas/Scripts/Winrm/
Pester.bat,https://lolbas-project.github.io/lolbas/Scripts/pester/
